Bore.ID,Easting,Northing,Latitude.x,Longitude.x,Date,SWL,Drilled.Depth..m.,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Mrainfall.mm.,Salinity,Longitude.y,Latitude.y,Completed Depth
GW020081,599709,6159581,-34.7009,148.0887,16/10/1990,1.67,14.3,325,0.327336,9.6672802,4,Qa,60.1,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,14/09/1978,6.58,14.3,325,0.327336,9.6672802,4,Qa,141.1,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,30/11/1988,3.3,14.3,325,0.327336,9.6672802,4,Qa,79.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,30/05/1991,3,14.3,325,0.327336,9.6672802,4,Qa,24.2,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,29/06/1982,6.21,14.3,325,0.327336,9.6672802,4,Qa,26.6,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,29/01/1982,6.2,14.3,325,0.327336,9.6672802,4,Qa,12.4,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,28/12/1990,2.48,14.3,325,0.327336,9.6672802,4,Qa,10.6,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,28/09/1982,6.23,14.3,325,0.327336,9.6672802,4,Qa,48.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,28/04/1988,3.59,14.3,325,0.327336,9.6672802,4,Qa,44.5,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,27/05/1981,6.83,14.3,325,0.327336,9.6672802,4,Qa,59.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,29/05/1984,4.61,14.3,325,0.327336,9.6672802,4,Qa,17.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,26/03/1981,6.82,14.3,325,0.327336,9.6672802,4,Qa,13.9,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,20/04/1982,6.22,14.3,325,0.327336,9.6672802,4,Qa,14.2,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,25/11/1987,2.57,14.3,325,0.327336,9.6672802,4,Qa,21.7,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,25/06/1974,9.3,14.3,325,0.327336,9.6672802,4,Qa,23,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,25/05/1982,6.21,14.3,325,0.327336,9.6672802,4,Qa,3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,24/04/1984,4.65,14.3,325,0.327336,9.6672802,4,Qa,109.2,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,24/03/1987,2.73,14.3,325,0.327336,9.6672802,4,Qa,48.7,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,23/07/1984,0,14.3,325,0.327336,9.6672802,4,Qa,154.5,NA,148.0887,34.7009,14.3
