Bore.ID,Easting,Northing,Latitude,Longitude,Date,SWL,Drilled.Depth..m.,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Mrainfall.mm.,Salinity
Coolac,606506,6134134,-34.92968,148.16614,17/11/2015,4.02,15.1,239,0.587074,8.431359,4,Qa,105.4,1981
GW400251,599052,6170914,-34.5988,148.0802,19/11/2015,0.83,5,381,1.848508,6.019974,3,Sbs,90.8,2119
GW400253,599051,6170914,-34.5988,148.0802,19/11/2015,0.81,11.6,381,1.848508,6.019974,3,Sbs,90.8,1966
GW400255,598686,6169984,-34.6072,148.0763,19/11/2015,1.08,13.6,370,2.102657,6.563342,3,Sbs,90.8,2261
GW400256,598685,6169984,-34.6072,148.0763,19/11/2015,0.84,5,370,2.102657,6.563342,3,Sbs,90.8,2729
Dinyah_Hopes 7: Deep,592343,6173867.516,-34.57282,148.00674,11/12/2015,0,16.56,362,1.020261,7.054324,3,Qa,96.8,3923
Dinyah_Hopes 7: shallow,592269,6173718.531,-34.57417,148.00595,11/12/2015,1.91,6.02,364,2.064191,6.02339,2,Qa,96.8,7665
Dinyah_Lane way,592937,6172178.021,-34.588,148.0134,19/11/2015,2.86,8.27,350,0.309164,8.446316,4,Qa,25.3,601.1
Dinayh _Near house,593085,6171843.816,-34.591,148.01505,19/11/2015,2.24,8.39,349,0.80547,7.089855,5,Qa,25.3,4026
GW400561,597735,6146023,-34.8234,148.0687,9/02/2016,3.5,8,304,1.24355,6.647909,3,Sbs,30.2,5207
GW400560,597927,6145945,-34.8241,148.0708,9/02/2016,2.55,14,304,0.502662,9.297188,4,Sws,30.2,5874
GW400563,596874,6150629,-34.7819,148.0588,9/02/2016,2.07,14,313,1.457451,6.715132,3,Sbs,30.2,6806
GW400564,596533,6150302,-34.7849,148.0551,9/02/2016,3.09,16.5,325,2.200544,6.574702,2,Dcc,30.2,14276
GW400552,604835,6154803,-34.7435,148.1453,9/02/2016,1.17,8,417,5.93511,5.478523,1,Cj,27.6,2381
GW400555,604940,6155155,-34.7403,148.1464,9/02/2016,4.8,10.5,421,2.718057,6.011496,2,Cj,27.6,1262
GW400550,595537,6174223,-34.5693,148.0415,10/02/2016,0,17,370,0.929375,6.87526,3,Sbs,12.6,3320
GW400551,595384,6174190,-34.5696,148.0398,10/02/2016,1.79,4,371,2.004911,5.878403,2,Sbs,12.6,2676
