FID,Work_No,Measuremen,Standing_W,Easting,Longitude,Latitude,Northing,Muttama_Mr,Slope,swi1,dem,Lithology1,Lithology_
146,GW020081,21/06/1989 0:00:00,1.170000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
147,GW020081,21/05/1975 0:00:00,7.530000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
148,GW020081,26/05/1990 0:00:00,2.570000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
149,GW020081,14/08/1975 0:00:00,7.470000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
150,GW020081,9/01/1984 0:00:00,0.000000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
151,GW020081,8/11/1978 0:00:00,0.000000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
152,GW020081,8/08/1974 0:00:00,8.900000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
153,GW020081,8/07/1980 0:00:00,6.650000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
154,GW020081,7/03/1988 0:00:00,3.350000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
155,GW020081,7/01/1976 0:00:00,6.980000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
156,GW020081,6/11/1979 0:00:00,6.460000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
157,GW020081,6/08/1979 0:00:00,6.330000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
158,GW020081,5/10/1978 0:00:00,6.450000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
159,GW020081,5/05/1978 0:00:00,0.000000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
160,GW020081,9/03/1990 0:00:00,2.800000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
161,GW020081,4/04/1979 0:00:00,6.410000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
