Work No,Measurement date,Standing_Water_level (m),Easting,Longitude,Latitude,Northing
GW020352,1/09/1982,6.65,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,1/06/1979,5.55,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,1/05/1979,5.46,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,14/08/1975,4.68,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,14/04/1980,6.1,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,3/12/1979,0,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,12/07/1978,0,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,14/03/1978,6.07,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,13/08/1981,5.44,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,13/05/1974,8.2,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,13/04/1978,6.15,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,5/05/1978,0,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,13/01/1981,6.25,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,8/08/1974,6.95,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,12/04/1983,0,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,12/03/1974,8.88,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,11/11/1980,6.39,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,11/07/1974,7.65,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,10/08/1978,6.15,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,9/06/1975,4.7,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,9/05/1985,0,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,9/04/1975,4.55,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,11/08/1983,5.21,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,13/02/1975,4.35,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,9/01/1984,0,"599,045",148.0815,-34.7029,"6,159,372"
