cells,Latitude,Longitude,Date.x,Rainfall,MDate,FID,Work_No,Date.y,Standing_W,Easting,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Yield Description,Drilled Depth,Salinity
29,-34.7008999999999,148.088699999999,1979-07-16,19.09999999999991,1979-07-01,113,GW020081,1979-07-16,6.37,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1979-07-16,19.09999999999991,1979-07-01,212,GW020352,1979-07-16,5.64,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1979-08-16,48.69999999999982,1979-08-01,58,GW014595,1979-08-06,4.57,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1979-08-16,48.69999999999982,1979-08-01,157,GW020081,1979-08-06,6.33,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1979-08-16,48.69999999999982,1979-08-01,251,GW020352,1979-08-06,5.6,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1979-09-16,53,1979-09-01,24,GW014595,1979-09-17,4.67,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1979-09-16,53,1979-09-01,107,GW020081,1979-09-17,6.38,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1979-09-16,53,1979-09-01,205,GW020352,1979-09-17,5.62,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1979-10-16,31.299999999999727,1979-10-01,34,GW014595,1979-10-16,0,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1979-10-16,31.299999999999727,1979-10-01,98,GW020081,1979-10-16,6.41,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1979-10-16,31.299999999999727,1979-10-01,208,GW020352,1979-10-16,5.7,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1979-11-16,23.899999999999636,1979-11-01,57,GW014595,1979-11-06,0,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1979-11-16,23.899999999999636,1979-11-01,156,GW020081,1979-11-06,6.46,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1979-11-16,23.899999999999636,1979-11-01,243,GW020352,1979-11-06,5.76,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1979-12-16,0,1979-12-01,64,GW014595,1979-12-03,0,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1979-12-16,0,1979-12-01,164,GW020081,1979-12-03,6.54,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1979-12-16,0,1979-12-01,259,GW020352,1979-12-03,0,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1980-01-16,48.399999999999636,1980-01-01,26,GW014595,1980-01-17,5.02,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1980-01-16,48.399999999999636,1980-01-01,108,GW020081,1980-01-17,6.65,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1980-01-16,48.399999999999636,1980-01-01,207,GW020352,1980-01-17,5.92,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1980-02-15,27.5,1980-02-01,47,GW014595,1980-02-26,5.18,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1980-02-15,27.5,1980-02-01,123,GW020081,1980-02-26,6.74,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1980-02-15,27.5,1980-02-01,230,GW020352,1980-02-26,6.05,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1980-04-16,23.59999999999991,1980-04-01,79,GW014595,1980-04-14,5.31,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1980-04-16,23.59999999999991,1980-04-01,184,GW020081,1980-04-14,6.75,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1980-04-16,23.59999999999991,1980-04-01,258,GW020352,1980-04-14,6.1,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1980-05-16,96.59999999999991,1980-05-01,23,GW014595,1980-05-19,5.37,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1980-05-16,96.59999999999991,1980-05-01,101,GW020081,1980-05-19,6.75,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
