cells,Latitude,Longitude,Date.x,Rainfall,MDate,FID,Work_No,Date.y,Standing_W,Easting,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Drilled.Depth,Salinity
42,-34.7009,148.0887,1978-02-15,0.09999999999990905,1978-02-01,115,GW020081,1978-02-16,6.59,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1984-10-16,62.29999999999973,1984-10-01,116,GW020081,1984-10-15,0,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1974-02-15,67.69999999999982,1974-02-01,117,GW020081,1974-02-15,10.11,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1988-07-16,93.29999999999973,1988-07-01,118,GW020081,1988-07-19,3.24,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1980-08-16,46.399999999999636,1980-08-01,119,GW020081,1980-08-29,6.62,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1999-01-16,95.69999999999982,1999-01-01,120,GW020081,1999-01-15,3.1,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1982-12-16,20.59999999999991,1982-12-01,121,GW020081,1982-12-14,6.37,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1981-09-16,28.5,1981-09-01,122,GW020081,1981-09-15,6.34,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1980-02-15,27.5,1980-02-01,123,GW020081,1980-02-26,6.74,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1990-10-16,60.09999999999991,1990-10-01,124,GW020081,1990-10-16,1.67,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1978-09-16,141.0999999999999,1978-09-01,125,GW020081,1978-09-14,6.58,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1988-11-16,79.29999999999973,1988-11-01,126,GW020081,1988-11-30,3.3,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1991-05-16,24.199999999999818,1991-05-01,127,GW020081,1991-05-30,3,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1982-06-16,26.59999999999991,1982-06-01,128,GW020081,1982-06-29,6.21,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1982-01-16,12.399999999999636,1982-01-01,129,GW020081,1982-01-29,6.2,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1990-12-16,10.599999999999909,1990-12-01,130,GW020081,1990-12-28,2.48,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1982-09-16,48.29999999999973,1982-09-01,131,GW020081,1982-09-28,6.23,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1988-04-16,44.5,1988-04-01,132,GW020081,1988-04-28,3.59,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1981-05-16,59.29999999999973,1981-05-01,133,GW020081,1981-05-27,6.83,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1984-05-16,17.299999999999727,1984-05-01,134,GW020081,1984-05-29,4.61,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1981-03-16,13.899999999999636,1981-03-01,135,GW020081,1981-03-26,6.82,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1982-04-16,14.199999999999818,1982-04-01,136,GW020081,1982-04-20,6.22,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1987-11-16,21.699999999999818,1987-11-01,137,GW020081,1987-11-25,2.57,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1974-06-16,23,1974-06-01,138,GW020081,1974-06-25,9.3,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1982-05-16,3,1982-05-01,139,GW020081,1982-05-25,6.21,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1984-04-16,109.19999999999982,1984-04-01,140,GW020081,1984-04-24,4.65,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1987-03-16,48.69999999999982,1987-03-01,141,GW020081,1987-03-24,2.73,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1984-07-16,154.5,1984-07-01,142,GW020081,1984-07-23,0,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1982-07-16,2.399999999999636,1982-07-01,143,GW020081,1982-07-23,6.18,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
